SIM,EQL,PRD,P[bar],T[K],eql_conf_time[ns],timestep[fs]
Ice_1h,eql,prd,1,265,0.200,2
Ice_1h,eql,prd,1,275,0.200,2
Ice_1h,eql,prd,100,265,0.200,2
Ice_1h,eql,prd,100,275,0.200,2
Ice_1h,eql,prd,500,255,0.200,2
Ice_1h,eql,prd,500,265,0.200,2
Ice_1h,eql,prd,1000,255,0.200,2
Ice_1h,eql,prd,1000,265,0.200,2
Ice_1h,eql,prd,2000,245,0.200,2
Ice_1h,eql,prd,2000,255,0.200,2
Ice_1h,eql,prd,2900,225,0.200,2
Ice_1h,eql,prd,2900,235,0.200,2
Ice_III,eql,prd,3000,225,0.200,2
Ice_III,eql,prd,3000,235,0.200,2
Ice_III,eql,prd,3100,225,0.200,2
Ice_III,eql,prd,3100,235,0.200,2
Ice_III,eql,prd,3200,225,0.200,2
Ice_III,eql,prd,3200,235,0.200,2
Ice_V,eql,prd,3300,225,0.200,2
Ice_V,eql,prd,3300,235,0.200,2
Ice_V,eql,prd,4200,235,0.200,2
Ice_V,eql,prd,4200,245,0.200,2
Ice_V,eql,prd,5100,245,0.200,2
Ice_V,eql,prd,5100,255,0.200,2
Ice_V,eql,prd,6000,245,0.200,2
Ice_V,eql,prd,6000,255,0.200,2
Ice_V,eql,prd,6900,245,0.200,2
Ice_V,eql,prd,6900,255,0.200,2
Ice_V,eql,prd,7600,255,0.200,2
Ice_V,eql,prd,7600,265,0.200,2
Ice_VI,eql,prd,7700,255,0.200,2
Ice_VI,eql,prd,7700,265,0.200,2
Ice_VI,eql,prd,8800,265,0.200,2
Ice_VI,eql,prd,8800,275,0.200,2
Ice_VI,eql,prd,9800,275,0.200,2
Ice_VI,eql,prd,9800,285,0.200,2
Ice_VI,eql,prd,10800,275,0.200,2
Ice_VI,eql,prd,10800,285,0.200,2
Ice_VI,eql,prd,11900,285,0.200,2
Ice_VI,eql,prd,11900,295,0.200,2
